#
#Tue Sep 10 14:25:31 EDT 2019
#
#SAO Exposure Time Calculator : v0.5
#
#transmiss /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/cptrans_zm_43_10.txt
#instmode  /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/BINOSPEC_600.tab
#objspec   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Spectra/Stars/K0V.tab
#skybkgd   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Bkgd/skybkgd.tab
#redshift  0.0
#abmag     19.8
#srcext    0.0
#seeing    0.75
#exptime   3600.0
#smscale   1.0
#aptype    Square
#apwidth   1.0
#apheight  1.0
#transcut  0.0
#rand      yes
#bandfilter   /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/g_filt.mag
#moonage      0.0
#airmass      1.1
#
#Wave  Spec  Noise Flux  FluxMask  SNR
#----  ----  ----- ----  --------  ---
0.3900305 81.3869639995 14.7459371046 1.90435015975e-17 --  9.55967435106
0.3900915 122.724464991 16.3953538786 2.89578344694e-17 --  12.9649539906
0.3901525 124.014830721 16.6277925179 2.92056031496e-17 --  12.9181301409
0.3902135 125.312135066 16.6963146822 3.10507876118e-17 --  12.9996941763
0.3902745 126.61657702  16.2455737518 2.41274223398e-17 --  13.4994520865
0.3903355 127.928018177 16.5779535548 2.70303195922e-17 --  13.3658130035
0.3903965 129.246382824 17.4498645872 2.33688286065e-17 --  12.828827446
0.3904575 130.571563426 17.024607391  3.08061544947e-17 --  13.2840996966
0.3905185 131.903529577 16.7040128473 2.76917819487e-17 --  13.677169493
0.3905795 133.242120623 16.8390491209 2.76306097427e-17 --  13.7051754509
0.3906405 134.58739105  17.3223912116 3.05261425124e-17 --  13.457275991
0.3907015 135.93958421  17.945755612  2.93730583595e-17 --  13.1203317209
0.3907625 137.299001183 17.7550713565 3.90379846754e-17 --  13.3938546966
0.3908235 138.665465172 17.6142321343 3.21446102217e-17 --  13.6353165498
0.3908845 140.038972633 17.5572910802 2.79063057033e-17 --  13.8150364161
0.3909455 141.402591388 17.4380354623 2.74733233831e-17 --  14.0449578242
0.3910065 142.613325243 17.3396191721 2.96161794118e-17 --  14.2456142033
0.3910675 143.669798553 17.6389605642 2.75925187116e-17 --  14.1075994644
0.3911285 144.587519713 17.8827544145 2.5688889366e-17  --  14.0041586703
0.3911895 145.508531665 18.0696453218 3.92890294389e-17 --  13.9475991527
0.3912505 146.432619456 21.7530079484 3.19991433937e-17 --  11.6594788815
0.3913115 147.359756059 24.2012317967 4.12823236033e-17 --  10.5463468401
0.3913725 148.289770012 20.4995744463 3.79580293745e-17 --  12.5293047705
0.3914335 149.223105014 18.0953120928 2.60135199225e-17 --  14.2833678812
0.3914945 149.797073668 17.1617533581 3.63177198909e-17 --  15.1182770783
0.3915555 149.972651195 17.3848981668 3.39496969384e-17 --  14.9417183307
0.3916165 149.746612641 17.5587225729 3.42449671679e-17 --  14.7715040362
0.3916775 149.478158953 17.3144970889 3.87170246648e-17 --  14.9530052533
0.3917385 149.203051427 18.1137067631 2.7931068847e-17  --  14.2669454186
0.3917995 148.921270795 19.4493785127 3.32525615192e-17 --  13.2620796688
0.3918605 148.632835095 18.2159452888 2.64076891003e-17 --  14.1326523535
0.3919215 148.33772511  17.3165589744 2.49713877329e-17 --  14.8371554042
0.3919825 147.697305375 17.2109545934 2.42081037228e-17 --  14.8637448121
0.3920435 146.572425542 17.1765630925 3.23877635664e-17 --  14.7800748415
0.3921045 144.959524527 17.1678636868 2.99605989474e-17 --  14.6248401142
0.3921655 143.193052803 17.2167794504 3.46318407013e-17 --  14.4055770396
0.3922265 141.408557315 17.2151339476 3.16046824217e-17 --  14.2274121502
0.3922875 139.605819923 17.1468911504 2.79608613755e-17 --  14.1019366729
0.3923485 137.785163684 16.757731259  3.19693581275e-17 --  14.2412418687
0.3924095 135.946468321 16.3720938201 2.39253439701e-17 --  14.3821671699
0.3924705 134.038266531 16.5287657714 2.26719513255e-17 --  14.0458816466
0.3925315 132.011795693 16.5132193693 2.24281589189e-17 --  13.8465511917
0.3925925 129.866292492 16.3342838887 2.12428832844e-17 --  13.7707302211
0.3926535 127.652363328 16.1358197439 2.27234459991e-17 --  13.7024571729
0.3927145 125.417922116 16.0120447349 2.50608017871e-17 --  13.5666753923
0.3927755 123.162971487 16.1458430577 2.55207710824e-17 --  13.212349672
0.3928365 120.887483208 15.9711249038 2.29486693898e-17 --  13.1101136693
0.3928975 118.591301065 15.5795986498 2.43885039664e-17 --  13.1843036138
0.3929585 116.409558365 15.1803170805 2.1524167539e-17  --  13.2821513876
0.3930195 114.631964569 15.1221069176 2.31663584553e-17 --  13.1296774905
0.3930805 113.261641235 15.7822265576 1.93880070629e-17 --  12.4301166538
0.3931415 112.166617655 16.1119574138 1.86471515881e-17 --  12.0580185078
0.3932025 111.060486704 16.2446413183 2.66900606731e-17 --  11.8415914464
0.3932635 109.943254064 15.3136139545 1.83544188622e-17 --  12.4351640673
0.3933245 108.814902242 14.7026302725 1.98031594256e-17 --  12.818994684
0.3933855 107.675407641 14.6464554023 2.10196653036e-17 --  12.7334069327
0.3934465 106.612718344 14.7440777259 2.13388597974e-17 --  12.5242587796
0.3935075 106.257104518 14.9725497521 1.61636466835e-17 --  12.2920081574
0.3935685 106.61373778  15.6380059159 2.51810502114e-17 --  11.8084371891
0.3936295 107.600018726 15.8091839846 1.69361674236e-17 --  11.7886349802
0.3936905 108.591016257 15.4420519866 1.9143127905e-17  --  12.1800624402
0.3937515 109.586648464 15.6008370234 2.10627301691e-17 --  12.166632001
0.3938125 110.586846363 15.8798404399 1.80448172585e-17 --  12.0619622896
0.3938735 111.591665588 16.2487937963 2.38976312498e-17 --  11.8951866165
0.3939345 112.601232744 16.4855585029 2.0079126539e-17  --  11.8304184886
0.3939955 114.235022078 16.6423337702 2.78719259956e-17 --  11.8890093766
0.3940565 116.546936942 16.6491756276 2.034316473e-17 --  12.1246373252
0.3941175 119.541804044 16.7503541343 2.79674419252e-17 --  12.3610806417
0.3941785 122.605026209 17.0690088866 2.33076131289e-17 --  12.4411520357
0.3942395 125.6873358 17.2923667326 2.26519941598e-17 --  12.589187752
0.3943005 128.788747425 17.4602050855 2.8224159835e-17  --  12.7758324081
0.3943615 131.909303076 17.0887434074 2.0905449542e-17  --  13.3698312083
0.3944225 135.049005786 17.2027212872 2.1927519996e-17  --  13.5973684412
0.3944835 138.26749977  18.1335364274 2.58929145881e-17 --  13.2068190668
0.3945445 141.587396344 18.0150842735 2.40087105854e-17 --  13.6128457939
0.3946055 145.009225071 17.5911081739 2.74733130563e-17 --  14.2778580466
0.3946665 148.473856499 18.0397160417 2.17711537333e-17 --  14.2554496123
0.3947275 151.959161591 18.3244755202 2.93242150186e-17 --  14.3633572629
0.3947885 155.465347655 18.4174563032 2.74082589281e-17 --  14.6205793309
0.3948495 158.99259256  18.1538068144 2.89035696423e-17 --  15.1694490944
0.3949105 162.540729656 17.8653495111 2.59750362283e-17 --  15.7583707998
0.3949715 165.80052239  17.8833460646 3.20425713747e-17 --  16.0582324842
0.3950325 168.497805173 18.203933008  3.03453950644e-17 --  16.0320717174
0.3950935 170.628623504 18.7766252817 2.98033634282e-17 --  15.7396465393
0.3951545 172.498263049 18.3966534303 3.08761083436e-17 --  16.2407666672
0.3952155 174.37682067  18.0074869844 3.35718711034e-17 --  16.7724410033
0.3952765 176.264735393 17.9600867692 3.15441595963e-17 --  16.9987751845
0.3953375 178.16178585  18.0758693037 3.02163666676e-17 --  17.0716694104
0.3953985 180.067971109 18.2928369844 3.19155522143e-17 --  17.0496722319
0.3954595 181.739395372 18.411197377  2.8544028573e-17  --  17.0973055188
0.3955205 182.690936916 18.450539664  2.97579482349e-17 --  17.15017504
0.3955815 182.917760432 18.3573859503 3.18776141966e-17 --  17.2586040046
0.3956425 182.658714056 18.4188924958 2.64077707984e-17 --  17.1766121802
0.3957035 182.394319471 18.5277694444 2.85967828724e-17 --  17.0509585238
0.3957645 182.124792684 18.2101821128 3.10366422927e-17 --  17.3226930018
0.3958255 181.849936713 18.0893760976 3.05463482224e-17 --  17.412061535
0.3958865 181.569826964 18.2506852584 2.83096766287e-17 --  17.2315812239
0.3959475 181.227146214 18.3941582837 2.25300272095e-17 --  17.0649083319
0.3960085 180.467817922 18.4624800951 3.28678904992e-17 --  16.9305222355
0.3960695 179.289078159 18.148794477  2.69152251684e-17 --  17.110656744
0.3961305 177.745337386 17.8717894439 2.5209656207e-17  --  17.2262523642
0.3961915 176.188169778 17.6434457544 3.11226911591e-17 --  17.2963300931
0.3962525 174.617561872 17.5454213784 2.3050417351e-17  --  17.2379153816
0.3963135 173.0335002 17.4631433521 2.47141297456e-17 --  17.1620199019
0.3963745 171.435971292 17.362869099  2.85747582299e-17 --  17.1017710742
0.3964355 169.824961669 17.3752702616 2.45241319826e-17 --  16.9289718995
0.3964965 168.539363229 17.4790389459 2.73980938362e-17 --  16.7010749899
0.3965575 167.601827401 16.9917778593 2.56670615863e-17 --  17.084432418
