#
#Tue Sep 10 14:21:19 EDT 2019
#
#SAO Exposure Time Calculator : v0.5
#
#transmiss /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/cptrans_zm_43_10.txt
#instmode  /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/HECTOSPEC_270.tab
#objspec   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Spectra/Stars/K0V.tab
#skybkgd   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Bkgd/skybkgd.tab
#redshift  0.0
#abmag     19.8
#srcext    0.0
#seeing    0.75
#exptime   3600.0
#smscale   1.0
#aptype    Square
#apwidth   1.5
#apheight  1.0
#transcut  0.0
#rand      yes
#bandfilter   /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/g_filt.mag
#moonage      0.0
#airmass      1.1
#
#Wave  Spec  Noise Flux  FluxMask  SNR
#----  ----  ----- ----  --------  ---
0.39006 172.312845191 21.5325270072 2.57147042211e-17 --  17.8940091479
0.39018 231.448281676 23.4703911298 3.5026551449e-17  --  22.0505098633
0.3903  291.439232092 23.6583006422 2.45972560513e-17 --  27.5454245055
0.39042 295.69636977  25.3884452752 3.00701227215e-17 --  26.0432325153
0.39054 299.973247194 24.5411513716 2.69514353179e-17 --  27.3320742781
0.39066 304.269916601 25.5665348098 3.34936309627e-17 --  26.6116711588
0.39078 308.51688885  25.752829125  3.31316050891e-17 --  26.7879203612
0.3909  312.365669345 25.485699533  3.18057155638e-17 --  27.4063841014
0.39102 315.814604377 25.250189946  3.92283173735e-17 --  27.9674301534
0.39114 318.861315056 25.9074598613 3.4310283429e-17  --  27.5208600024
0.39126 321.503059048 31.9175276897 3.45064593071e-17 --  22.5237587947
0.39138 322.787957756 28.6028618284 2.87494128884e-17 --  25.2343915861
0.3915  323.056172703 24.5995170535 3.65199515668e-17 --  29.3654367744
0.39162 322.302039941 25.1988005334 3.16460183051e-17 --  28.6001418853
0.39174 320.519887953 25.966613789  3.6663915796e-17  --  27.6009903881
0.39186 316.71228613  25.9962063677 3.4626613072e-17  --  27.2420595174
0.39198 311.688638407 24.5694142444 3.14048197005e-17 --  28.3668538598
0.3921  305.442183423 24.4585455562 3.01250863038e-17 --  27.9243703907
0.39222 297.966093421 24.4981765667 3.32303848796e-17 --  27.1968176108
0.39234 289.090471516 23.9127191442 3.29961747229e-17 --  27.0327243865
0.39246 279.717274371 23.421746675  2.46055408312e-17 --  26.7045344079
0.39258 270.042695049 23.1898767674 2.86811440048e-17 --  26.0386818358
0.3927  260.065310678 22.6250608703 2.68105638096e-17 --  25.7026364083
0.39282 250.292868956 22.6972004168 2.6630337587e-17  --  24.6581895121
0.39294 241.400524881 21.6714969968 2.31078156504e-17 --  24.907738654
0.39306 233.475207966 21.9502125945 1.93359385183e-17 --  23.7841175262
0.39318 226.522477419 22.7184593289 2.4534732968e-17  --  22.295510915
0.3933  221.112102238 20.7558613652 2.42587142747e-17 --  23.8208225885
0.39342 217.874912096 20.7071854532 2.40035197467e-17 --  23.5272492797
0.39354 216.312430792 21.5063326833 2.46933049183e-17 --  22.490552283
0.39366 216.434037671 21.8043498979 2.21459939439e-17 --  22.1956271636
0.39378 218.507266558 21.8767386663 2.42990876864e-17 --  22.3340923459
0.3939  223.273093843 22.759089883  2.50963820923e-17 --  21.9364578262
0.39402 229.615036127 23.071484508  2.36675832275e-17 --  22.2540872591
0.39414 237.541696017 23.2896861545 2.37074940762e-17 --  22.8066353604
0.39426 247.061676122 23.8579957343 2.26160568796e-17 --  23.1556208073
0.39438 258.111989523 23.379353001  2.76677304625e-17 --  24.6865665768
0.3945  269.406372929 25.1311053528 2.38500750014e-17 --  23.9707308925
0.39462 280.945581317 24.265345577  3.15965989761e-17 --  25.8893249968
0.39474 292.730859317 25.0546377526 2.62402303151e-17 --  26.1255463762
0.39486 303.677708199 24.7110374628 3.1742567733e-17  --  27.4793804107
0.39498 313.376823053 24.4080334434 3.04498202405e-17 --  28.7090674693
0.3951  321.821845485 25.5836468309 2.97295017981e-17 --  28.1279493852
0.39522 329.005593656 24.5636420164 2.93804486777e-17 --  29.9499101925
0.39534 333.85294522  24.6225610133 2.96468903043e-17 --  30.3184497989
0.39546 336.901065597 24.9547347768 2.95510256261e-17 --  30.1880060479
0.39558 338.357943471 24.8686647855 3.32916170742e-17 --  30.4234814718
0.3957  338.215064414 25.0966582964 2.95791697553e-17 --  30.1343655442
0.39582 336.018571593 24.4858972389 2.64812156156e-17 --  30.6854333519
0.39594 332.379283248 24.7870087243 3.6098321157e-17  --  29.9843631768
0.39606 327.825163328 24.5254643059 3.35895707883e-17 --  29.8889081484
0.39618 322.351457546 23.8856255818 3.05442671457e-17 --  30.1771360039
0.3963  316.20898482  23.6104021515 3.32769564309e-17 --  29.9471724631
0.39642 310.352228686 23.4247711022 2.9036839705e-17  --  29.6254199148
0.39654 305.229286755 23.1403138291 2.38860132467e-17 --  29.4945625607
0.39666 300.844156135 22.9430046212 2.84765735007e-17 --  29.3208319859
0.39678 297.556374994 22.9535082059 2.42376644128e-17 --  28.9871280528
0.3969  296.898606471 22.6507754198 2.81260295172e-17 --  29.3096132115
0.39702 298.372126253 23.8069222714 3.29751103846e-17 --  28.0246370903
0.39714 301.988090958 24.1398864268 3.10523224864e-17 --  27.9730354915
0.39726 307.757664661 24.5386916208 2.80965873558e-17 --  28.0441626398
0.39738 316.988773322 24.5454405034 2.87838808806e-17 --  28.8773976232
0.3975  327.916945472 26.14827165 3.36110196194e-17 --  28.0417991239
0.39762 340.550786565 24.8199510899 3.2198323354e-17  --  30.6807497643
0.39774 354.899010997 26.1660900301 3.17315750359e-17 --  30.3285019972
0.39786 371.25309113  26.1996704511 3.37497881135e-17 --  31.685404218
0.39798 388.027503335 27.4597109259 3.86108853461e-17 --  31.5974147339
0.3981  405.224084449 27.1512421504 3.85895844136e-17 --  33.3726388623
0.39822 422.845118405 27.3415718457 3.69791533871e-17 --  34.5814218013
0.39834 440.428888175 27.6700215061 3.79227808796e-17 --  35.5919106532
0.39846 457.460719901 27.8054382372 4.16155961665e-17 --  36.7882447313
0.39858 473.880359671 27.8145953453 3.86408034938e-17 --  38.0961392489
0.3987  489.684414059 28.5330358649 4.16820993421e-17 --  38.3754340947
0.39882 504.263507819 29.3590700626 4.49916315788e-17 --  38.4061034512
0.39894 517.466573784 28.7823977043 4.62859881019e-17 --  40.2013218966
0.39906 529.518511713 28.9864360918 4.74838085479e-17 --  40.8480498873
0.39918 540.413180695 28.924135555  4.33370848419e-17 --  41.778279101
0.3993  549.868369692 30.0081276678 4.48232794092e-17 --  40.9736677649
0.39942 557.928856129 29.3865632879 5.0752988365e-17  --  42.4536491965
0.39954 565.194891978 29.4728473068 4.55585542861e-17 --  42.8806279164
0.39966 571.66236154  29.4879757457 4.83476471962e-17 --  43.3490556153
0.39978 577.281914701 29.693234576  4.78422864681e-17 --  43.4725829598
0.3999  582.098111851 31.7999708549 5.02510778799e-17 --  40.9311993905
0.40002 586.659426939 29.9307832195 4.64973668859e-17 --  43.8281333521
0.40014 590.963915368 30.0003600691 4.79002142928e-17 --  44.0473208978
0.40026 595.008683834 30.687981268  5.14973885827e-17 --  43.3550793921
0.40038 598.899643508 30.8497042566 5.18905865098e-17 --  43.4098266695
0.4005  602.861840859 30.2344552984 5.50083095714e-17 --  44.5862193943
0.40062 606.895449328 30.2061221732 4.97442563759e-17 --  44.9266367974
0.40074 611.000642563 31.1523346289 5.69156471235e-17 --  43.8567121002
0.40086 615.082435023 31.2069792891 4.90769986276e-17 --  44.0723891837
0.40098 619.059368021 31.1838421745 5.10615430044e-17 --  44.3902589443
0.4011  622.931539574 31.5077419884 5.3809413254e-17  --  44.2087302965
0.40122 626.698154524 31.3453045349 5.49256515259e-17 --  44.7065260868
0.40134 630.17999063  31.36734925 5.5483865213e-17  --  44.9233145548
0.40146 633.381870668 31.4603898319 5.51769084389e-17 --  45.0180346174
0.40158 636.321985533 31.5275204368 5.51330656043e-17 --  45.130704715
0.4017  638.999260685 31.0495886123 5.05747677628e-17 --  46.0181873037
0.40182 641.215433098 31.1980227645 5.18076497832e-17 --  45.9580822622
0.40194 642.949894536 31.8621475354 5.30445478635e-17 --  45.1218697268
0.40206 644.290972274 31.61864963 5.75545825997e-17 --  45.5641979703
0.40218 645.237641016 31.3563266252 5.60693685991e-17 --  46.0128906106
0.4023  645.61732671  31.2496242098 5.44898236682e-17 --  46.1971708935
0.40242 645.283098287 31.4981966749 5.32554804053e-17 --  45.808872406
