# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
4900.000 1.30 14.02 10.79 3.69 4.25 80.67 18.98 22.17
4900.100 1.30 14.05 10.79 3.70 4.26 80.81 18.98 22.20
4900.200 1.30 14.07 10.80 3.71 4.26 80.94 18.98 22.24
4900.300 1.31 14.09 10.80 3.71 4.27 81.08 18.99 22.27
4900.400 1.31 14.12 10.80 3.72 4.28 81.21 18.99 22.31
4900.500 1.31 14.14 10.80 3.72 4.28 81.34 19.00 22.35
4900.600 1.31 14.16 10.80 3.73 4.29 81.47 19.00 22.38
4900.700 1.31 14.18 10.80 3.74 4.29 81.60 19.00 22.42
4900.800 1.32 14.21 10.80 3.74 4.30 81.73 19.01 22.46
4900.900 1.32 14.23 10.80 3.75 4.31 81.86 19.01 22.49
4901.000 1.32 14.25 10.81 3.75 4.31 81.99 19.02 22.53
4901.100 1.32 14.28 10.81 3.76 4.32 82.13 19.02 22.57
4901.200 1.32 14.30 10.81 3.77 4.32 82.26 19.02 22.60
4901.300 1.32 14.32 10.81 3.77 4.33 82.39 19.03 22.64
4901.400 1.33 14.35 10.81 3.78 4.34 82.52 19.03 22.68
4901.500 1.33 14.37 10.81 3.79 4.34 82.66 19.03 22.71
4901.600 1.33 14.39 10.81 3.79 4.35 82.79 19.04 22.75
4901.700 1.33 14.42 10.82 3.80 4.35 82.92 19.04 22.79
4901.800 1.33 14.44 10.82 3.80 4.36 83.06 19.05 22.83
4901.900 1.34 14.46 10.82 3.81 4.37 83.19 19.05 22.86
4902.000 1.34 14.49 10.82 3.82 4.37 83.33 19.05 22.90
4902.100 1.34 14.51 10.82 3.82 4.38 83.46 19.06 22.94
4902.200 1.34 14.53 10.82 3.83 4.39 83.60 19.06 22.98
4902.300 1.34 14.56 10.82 3.84 4.39 83.73 19.07 23.01
4902.400 1.35 14.58 10.82 3.84 4.40 83.87 19.07 23.05
4902.500 1.35 14.60 10.83 3.85 4.40 84.00 19.07 23.09
4902.600 1.35 14.63 10.83 3.85 4.41 84.14 19.08 23.13
4902.700 1.35 14.65 10.83 3.86 4.42 84.27 19.08 23.17
4902.800 1.35 14.67 10.83 3.87 4.42 84.41 19.09 23.20
4902.900 1.36 14.70 10.83 3.87 4.43 84.54 19.09 23.24
4903.000 1.36 14.72 10.83 3.88 4.43 84.68 19.09 23.28
4903.100 1.36 14.74 10.83 3.89 4.44 84.82 19.10 23.32
4903.200 1.36 14.77 10.84 3.89 4.45 84.95 19.10 23.36
4903.300 1.36 14.79 10.84 3.90 4.45 85.09 19.11 23.39
4903.400 1.37 14.82 10.84 3.91 4.46 85.23 19.11 23.43
4903.500 1.37 14.84 10.84 3.91 4.47 85.36 19.11 23.47
4903.600 1.37 14.86 10.84 3.92 4.47 85.50 19.12 23.51
4903.700 1.37 14.89 10.84 3.92 4.48 85.64 19.12 23.55
4903.800 1.38 14.91 10.84 3.93 4.48 85.78 19.13 23.59
4903.900 1.38 14.94 10.85 3.94 4.49 85.92 19.13 23.62
4904.000 1.38 14.96 10.85 3.94 4.50 86.05 19.14 23.66
4904.100 1.38 14.98 10.85 3.95 4.50 86.19 19.14 23.70
4904.200 1.38 15.01 10.85 3.96 4.51 86.33 19.14 23.74
4904.300 1.39 15.03 10.85 3.96 4.52 86.47 19.15 23.78
4904.400 1.39 15.06 10.85 3.97 4.52 86.61 19.15 23.82
4904.500 1.39 15.08 10.85 3.98 4.53 86.75 19.16 23.86
4904.600 1.39 15.10 10.86 3.98 4.54 86.89 19.16 23.90
4904.700 1.39 15.13 10.86 3.99 4.54 87.03 19.16 23.94
4904.800 1.40 15.15 10.86 4.00 4.55 87.17 19.17 23.97
4904.900 1.40 15.18 10.86 4.00 4.55 87.31 19.17 24.01
4905.000 1.40 15.20 10.86 4.01 4.56 87.44 19.18 24.05
4905.100 1.40 15.22 10.86 4.01 4.56 87.55 19.18 24.09
4905.200 1.40 15.23 10.86 4.02 4.57 87.62 19.18 24.11
4905.300 1.40 15.24 10.86 4.02 4.57 87.68 19.18 24.14
4905.400 1.40 15.25 10.86 4.03 4.57 87.75 19.19 24.16
4905.500 1.40 15.26 10.87 4.03 4.58 87.81 19.19 24.19
4905.600 1.41 15.28 10.87 4.04 4.58 87.88 19.19 24.21
4905.700 1.41 15.29 10.87 4.04 4.58 87.94 19.19 24.24
4905.800 1.41 15.30 10.87 4.04 4.59 88.01 19.19 24.26
4905.900 1.41 15.31 10.87 4.05 4.59 88.07 19.20 24.29
4906.000 1.41 15.32 10.87 4.05 4.59 88.14 19.20 24.31
4906.100 1.41 15.33 10.87 4.08 4.59 88.20 19.20 24.49
4906.200 1.41 15.34 10.89 4.54 4.59 88.27 19.24 27.24
4906.300 1.40 15.36 10.95 5.78 4.57 88.33 19.32 34.69
4906.400 1.40 15.37 10.98 6.37 4.56 88.40 19.37 38.21
4906.500 1.40 15.38 10.98 6.40 4.57 88.46 19.37 38.38
4906.600 1.40 15.39 10.96 5.95 4.58 88.53 19.34 35.67
4906.700 1.41 15.40 10.90 4.71 4.60 88.59 19.26 28.25
4906.800 1.42 15.41 10.88 4.13 4.61 88.66 19.22 24.77
4906.900 1.42 15.42 10.88 4.08 4.62 88.73 19.21 24.50
4907.000 1.42 15.44 10.88 4.09 4.62 88.79 19.22 24.52
4907.100 1.42 15.45 10.88 4.09 4.62 88.86 19.22 24.53
4907.200 1.42 15.46 10.88 4.09 4.63 88.92 19.22 24.55
4907.300 1.42 15.47 10.88 4.09 4.63 88.99 19.22 24.57
4907.400 1.42 15.48 10.88 4.10 4.63 89.05 19.22 24.59
4907.500 1.42 15.49 10.88 4.10 4.64 89.12 19.23 24.60
4907.600 1.43 15.50 10.88 4.10 4.64 89.19 19.23 24.62
4907.700 1.43 15.52 10.88 4.11 4.64 89.25 19.23 24.64
4907.800 1.43 15.53 10.88 4.11 4.64 89.32 19.23 24.66
4907.900 1.43 15.54 10.88 4.11 4.65 89.38 19.23 24.67
4908.000 1.43 15.55 10.88 4.12 4.65 89.45 19.24 24.69
4908.100 1.43 15.56 10.88 4.12 4.65 89.51 19.24 24.71
4908.200 1.43 15.57 10.88 4.12 4.65 89.55 19.24 24.72
4908.300 1.43 15.57 10.88 4.12 4.66 89.59 19.24 24.73
4908.400 1.43 15.58 10.88 4.12 4.66 89.63 19.24 24.74
4908.500 1.43 15.59 10.88 4.12 4.66 89.67 19.24 24.75
4908.600 1.43 15.59 10.88 4.13 4.66 89.71 19.24 24.76
4908.700 1.43 15.60 10.89 4.13 4.66 89.75 19.24 24.77
4908.800 1.43 15.61 10.89 4.13 4.67 89.79 19.25 24.78
4908.900 1.43 15.62 10.89 4.13 4.67 89.83 19.25 24.79
